date,BI,BI_Simple,close,BI_MA,BI_Simple_MA
2023-02-20,-0.6931471805599453,-1.0,3290.3383,,
2023-03-02,0.6931471805599453,1.0,3310.6536,,
2023-05-05,0.6931471805599453,1.0,3334.5028,,
2023-06-12,0.0,0.0,3228.8336,,
2023-06-13,-0.019293202934678896,-0.009708737864077669,3233.6734,,
2023-06-14,-0.48042814658161975,-0.2367816091954023,3228.9887,,
2023-06-15,-0.2411620568168881,-0.1206896551724138,3252.9751,,
2023-06-16,-0.20421554142869083,-0.10247349823321555,3273.3341,,
2023-06-17,-0.2744368457017603,-0.14285714285714285,3273.3341,,
2023-06-18,0.44183275227903923,0.22727272727272727,3273.3341,-0.008455586062465336,0.061476208395047506
2023-06-19,-0.2911970145592254,-0.14545454545454545,3255.8057,0.03173943053760665,0.14693075384959295
2023-06-20,-0.6069260051128165,-0.2962962962962963,3240.3648,-0.09826788802966953,0.017301124219963337
2023-06-21,-0.9314138934483759,-0.4358974358974359,3197.9011,-0.2607239954305016,-0.12628861936978025
2023-06-22,-0.2478361639045812,-0.1267605633802817,3197.9011,-0.28550761182095974,-0.1389646757078084
2023-06-23,-0.8001193001121132,-0.3877551020408163,3197.9011,-0.3635902215387032,-0.17676931212548228
2023-06-24,-0.7672551527136672,-0.375,3197.9011,-0.3922729221519079,-0.19059115120594206
2023-06-25,-0.6763400622435641,-0.3333333333333333,3197.9011,-0.4357907226945755,-0.211855519022034
2023-06-26,-0.9156125358495167,-0.429126213592233,3150.6189,-0.5069304221366581,-0.24452079055793577
2023-06-27,-0.6150294012959933,-0.29938900203665986,3189.4427,-0.5409896776960814,-0.26017397647588747
2023-06-28,-0.9306450453258382,-0.4358974358974359,3189.3758,-0.6782374574565692,-0.3264909927929038
2023-06-29,-0.5346008892596489,-0.26256983240223464,3182.3812,-0.7025778449266115,-0.33820252148767266
2023-06-30,-0.3395071403163669,-0.16913946587537093,3202.0623,-0.6758359584469666,-0.32548683844558013
2023-07-01,0.42744401482693967,0.2222222222222222,3202.0623,-0.539950167619435,-0.25967487263361433
2023-07-02,0.6632942174102642,0.3333333333333333,3202.0623,-0.44883712948795046,-0.2136654829622528
2023-07-03,-0.3374777671232317,-0.168141592920354,3243.975,-0.40257297618906235,-0.19170413205020662
2023-07-04,-0.21772348384487053,-0.10931174089068826,3245.3492,-0.34761980930218267,-0.16513530613927546
2023-07-05,-0.9520088144762343,-0.44529262086513993,3222.9469,-0.3751866845254497,-0.1763312348924561
2023-07-06,-0.8929910880461024,-0.4204946996466431,3205.5748,-0.37292453974510825,-0.1754680834978971
2023-07-07,-0.7837440759121719,-0.3743218806509946,3196.6092,-0.3897960072067261,-0.1829613713593306
2023-07-08,-0.2411620568168881,-0.125,3196.6092,-0.3208477083558311,-0.151871627769587
2023-07-09,-0.09237332013101517,-0.047619047619047616,3196.6092,-0.2766249514429677,-0.13037654929126827
2023-07-10,-0.4708478673710161,-0.23237597911227154,3203.6958,-0.28975902414843263,-0.13670020061495833
2023-07-11,-0.4710623905939777,-0.23278688524590163,3221.3666,-0.3796096646905244,-0.18220111136177075
2023-07-12,-0.8124939381925116,-0.38639652677279307,3196.1337,-0.527188480250802,-0.2541740973723834
2023-07-13,-0.624827936582468,-0.3039647577092511,3236.48,-0.5559234971967255,-0.2677564138512731
2023-07-14,-0.8151946150027863,-0.3887240356083086,3237.7012,-0.6156706103125171,-0.2956976433230351
2023-07-15,0.0,0.0,3237.7012,-0.5204697288648937,-0.25116838123652113
2023-07-16,0.28768207245178085,0.14893617021276595,3237.7012,-0.4024024128151054,-0.1942252942505802
2023-07-17,-1.153541950699044,-0.5216819973718791,3209.6298,-0.43938220029379266,-0.20896130592266865
2023-07-18,-0.8690378470236094,-0.4105263157894737,3197.8201,-0.5021697793144647,-0.23751393750161606
2023-07-19,-0.8256050357759438,-0.3918741808650065,3198.8358,-0.5754929508789577,-0.2719394508262119
2023-07-20,-0.9377310631120244,-0.43804537521815007,3169.522,-0.6221812704530585,-0.29250639043679977
2023-07-21,-0.8903943875705757,-0.41885964912280704,3167.7452,-0.6641144701507182,-0.3111136668244904
2023-07-22,-0.4418327522790392,-0.22388059701492538,3167.7452,-0.627048351559371,-0.29486207384870355
2023-07-23,0.0,0.0,3167.7452,-0.5645655579011242,-0.2644655980777785
2023-07-24,-0.7519236170318142,-0.36023054755043227,3164.1608,-0.5582384581040271,-0.2616162492719908
2023-07-25,-0.6571367430369123,-0.3179317931793179,3231.5213,-0.6239521324077183,-0.2934094285899226
